3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1747,686,304,136,61,39,29,19,10,7,7,4,1,1,0
6499,4470,3507,2974,2626,2428,2230,2025,1765,1451,1334,1190,1011,779,442
12202,9733,8473,7734,7235,6914,6624,6309,5872,5264,4985,4706,4282,3593,2332
15673,12984,11565,10701,10103,9696,9342,8960,8445,7700,7327,6942,6371,5370,3536
17638,14829,13307,12365,11703,11260,10858,10442,9883,9061,8637,8195,7546,6396,4260
19203,16339,14762,13772,13079,12607,12173,11735,11143,10276,9820,9315,8609,7346,4961
